Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,3,Misiones,50195.0,77989.0,2572.0,3.445,8.985,143.186
2019-01-01,3,Neuquén,30222.0,70446.0,11043.0,16.787,737.0,129.235
2019-01-01,3,Río Negro,49530.0,40001.0,10381.0,13.187,18.368,131.467
2019-01-01,3,Salta,58216.0,84128.0,25445.0,5.764,7.293,180.846
2019-01-01,3,San Juan,40092.0,9223.0,5509.0,14.023,8.48,77.327
2019-01-01,3,San Luis,8401.0,10077.0,6.0,61.828,36.253,116.565
2019-01-01,3,Santa Cruz,12845.0,16098.0,1027.0,6.938,2.373,39.281
2019-01-01,3,Santa Fe,295051.0,405807.0,45721.0,37.112,19.307,802.998
2019-01-01,3,Santiago Del Estero,26419.0,70720.0,555.0,4.185,3.613,105.492
2019-01-01,3,Tierra Del Fuego,12854.0,26491.0,0.0,0.0,310.0,39.655
2019-01-01,3,Tucumán,149605.0,11752.0,59949.0,1.808,762.0,223.876
2019-01-01,2,Buenos Aires,661272.0,2244277.0,723072.0,91.736,57.189,3.777.546
2019-01-01,2,Capital Federal,178896.0,1106133.0,39482.0,3.937,29.373,1.357.821
2019-01-01,2,Catamarca,26968.0,3641.0,14878.0,261.0,2.228,47.976
2019-01-01,2,Chaco,46816.0,56017.0,17266.0,6.452,1.581,128.132
2019-01-01,2,Chubut,45761.0,38279.0,1324.0,17.678,5.614,108.656
2019-01-01,2,Córdoba,282858.0,415007.0,85818.0,44.522,8.263,836.468
2019-01-01,2,Corrientes,51248.0,55536.0,3144.0,3.927,5.011,118.866
2019-01-01,2,Entre Ríos,89391.0,99423.0,13954.0,20.042,11.303,234.113
2019-01-01,2,Formosa,21805.0,9353.0,1882.0,14.723,169.0,47.932
2019-01-01,2,Jujuy,32705.0,38938.0,5057.0,952.0,16.664,94.316
2019-01-01,2,La Pampa,8551.0,54422.0,14232.0,11.314,1.29,89.809
2019-01-01,2,La Rioja,16885.0,34984.0,1.0,250.0,35.0,52.155
2019-01-01,2,Mendoza,91904.0,62941.0,29613.0,15.924,802.0,201.184
2019-01-01,2,Misiones,50792.0,74497.0,2579.0,3.319,9.153,140.340
2019-01-01,2,Neuquén,30256.0,67990.0,11037.0,15.755,1.134,126.172
2019-01-01,2,Río Negro,49756.0,39650.0,10382.0,11.331,18.367,129.486
2019-01-01,2,Salta,59502.0,81740.0,24289.0,5.123,7.108,177.762
2019-01-01,2,San Juan,40092.0,8275.0,5509.0,7.019,8.882,69.777
2019-01-01,2,San Luis,8401.0,8357.0,6.0,60.935,36.253,113.952
2019-01-01,2,Santa Cruz,12845.0,16044.0,1027.0,6.585,2.368,38.869
2019-01-01,2,Santa Fe,299974.0,381679.0,46698.0,30.487,19.094,777.932
2019-01-01,2,Santiago Del Estero,25917.0,72074.0,355.0,3.038,4.063,105.447
2019-01-01,2,Tierra Del Fuego,12854.0,26025.0,0.0,0.0,310.0,39.189
2019-01-01,2,Tucumán,150084.0,9833.0,55120.0,1.357,762.0,217.156
2019-01-01,1,Buenos Aires,673237.0,2210349.0,720688.0,85.443,18.334,3.708.051
2019-01-01,1,Capital Federal,184494.0,1097635.0,38898.0,3.911,28.556,1.353.494
2019-01-01,1,Catamarca,21945.0,3146.0,12056.0,261.0,2.227,39.635
2019-01-01,1,Chaco,46356.0,54144.0,11958.0,6.239,1.58,120.277
2019-01-01,1,Chubut,45763.0,27287.0,1324.0,16.885,5.479,96.738
2019-01-01,1,Córdoba,286168.0,406109.0,68512.0,41.617,8.693,811.099
2019-01-01,1,Corrientes,51126.0,53231.0,2172.0,2.437,5.004,113.970
2019-01-01,1,Entre Ríos,90368.0,95434.0,13245.0,18.737,14.062,231.846
2019-01-01,1,Formosa,21068.0,8887.0,1800.0,14.51,169.0,46.434
2019-01-01,1,Jujuy,32066.0,38938.0,3078.0,942.0,16.641,91.665
2019-01-01,1,La Pampa,8553.0,53755.0,13821.0,11.295,1.802,89.226
2019-01-01,1,La Rioja,13076.0,34984.0,0.0,251.0,29.0,48.340
2019-01-01,1,Mendoza,91955.0,50251.0,28059.0,12.465,722.0,183.452
2019-01-01,1,Misiones,51458.0,69452.0,1220.0,460.0,10.962,133.552
2019-01-01,1,Neuquén,29305.0,65951.0,11031.0,14.711,729.0,121.727
2019-01-01,1,Río Negro,47756.0,38479.0,10381.0,11.222,18.362,126.200
2019-01-01,1,Salta,60426.0,75593.0,23025.0,4.125,7.212,170.381
2019-01-01,1,San Juan,40092.0,6448.0,5508.0,7.082,5.101,64.231
2019-01-01,1,San Luis,8301.0,7612.0,5.0,58.301,36.333,110.552
2019-01-01,1,Santa Cruz,12845.0,15766.0,1026.0,6.817,2.368,38.822
2019-01-01,1,Santa Fe,302366.0,383673.0,35123.0,30.488,19.468,771.118
